#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=L: Das läuft jetzt schon, oder?
18-9	812-815	das	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-10	816-821	liegt	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-11	821-822	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-12	823-827	weil	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-13	828-830	es	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-14	831-835	kann	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-15	836-838	ja	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-16	839-844	nicht	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-17	845-849	sein	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-18	849-850	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-19	851-855	dass	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-20	856-860	mein	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-21	861-865	Sohn	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-22	866-868	zu	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-23	869-874	Hause	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-24	875-877	so	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-25	878-881	gut	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-26	882-885	ist	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-27	886-889	und	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-28	890-892	in	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-29	893-896	der	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-30	897-903	Schule	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-31	904-908	dann	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-32	909-918	plötzlich	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-33	919-928	schlechte	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-34	929-934	Noten	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-35	935-943	schreibt	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-36	943-944	.	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	

#Text=L: Verstehe ich, da ist Ihnen richtig aufgefallen.
19-1	945-946	L	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
19-2	946-947	:	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[56]	*[56]	*[56]	Statement[56]	
19-3	948-956	Verstehe	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[56]	*[56]	*[56]	Statement[56]	
19-4	957-960	ich	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[56]	*[56]	*[56]	Statement[56]	
19-5	960-961	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[56]	*[56]	*[56]	Statement[56]	
19-6	962-964	da	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[56]	*[56]	*[56]	Statement[56]	
19-7	965-968	ist	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[56]	*[56]	*[56]	Statement[56]	
19-8	969-974	Ihnen	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[56]	*[56]	*[56]	Statement[56]	
19-9	975-982	richtig	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[56]	*[56]	*[56]	Statement[56]	
19-10	983-994	aufgefallen	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[56]	*[56]	*[56]	Statement[56]	
19-11	994-995	.	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[56]	*[56]	*[56]	Statement[56]	

#Text=L: Und zwar, also mir ist es auch aufgefallen, im Unterricht selbst macht er wirklich toll mit, weiß viel, meldet sich oft.
20-1	996-997	L	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
20-2	997-998	:	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
20-3	999-1002	Und	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-4	1003-1007	zwar	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-5	1007-1008	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-6	1009-1013	also	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-7	1014-1017	mir	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-8	1018-1021	ist	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-9	1022-1024	es	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-10	1025-1029	auch	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-11	1030-1041	aufgefallen	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-12	1041-1042	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-13	1043-1045	im	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-14	1046-1056	Unterricht	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-15	1057-1063	selbst	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-16	1064-1069	macht	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-17	1070-1072	er	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-18	1073-1081	wirklich	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-19	1082-1086	toll	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-20	1087-1090	mit	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-21	1090-1091	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-22	1092-1096	weiß	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-23	1097-1101	viel	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-24	1101-1102	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-25	1103-1109	meldet	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-26	1110-1114	sich	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-27	1115-1118	oft	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	
20-28	1118-1119	.	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	*[57]	Paraphrasieren[57]	*[57]	*[57]	

#Text=L: Und sobald dann aber irgendwie halt eine Leistungsabfrage kommt in Form von einem Test, hat der irgendwie eine Blockade.
21-1	1120-1121	L	_	_	_	_	_	_	_	_	_	_	_	
21-2	1121-1122	:	_	_	_	_	_	_	_	_	_	_	_	
21-3	1123-1126	Und	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-4	1127-1133	sobald	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-5	1134-1138	dann	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-6	1139-1143	aber	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-7	1144-1153	irgendwie	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-8	1154-1158	halt	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-9	1159-1163	eine	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-10	1164-1180	Leistungsabfrage	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-11	1181-1186	kommt	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-12	1187-1189	in	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-13	1190-1194	Form	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-14	1195-1198	von	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-15	1199-1204	einem	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-16	1205-1209	Test	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-17	1209-1210	,	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-18	1211-1214	hat	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-19	1215-1218	der	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-20	1219-1228	irgendwie	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-21	1229-1233	eine	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-22	1234-1242	Blockade	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	
21-23	1242-1243	.	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[58]	*[58]	*[58]	Statement[58]	

#Text=L: Also er ist dann aufgeregt, nervös.
22-1	1244-1245	L	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
22-2	1245-1246	:	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
22-3	1247-1251	Also	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
22-4	1252-1254	er	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
22-5	1255-1258	ist	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
22-6	1259-1263	dann	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
22-7	1264-1273	aufgeregt	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
22-8	1273-1274	,	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
22-9	1275-1281	nervös	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
22-10	1281-1282	.	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	

#Text=L: Ja, also kann dann leider irgendwie im Test selbst nicht das wiedergeben, was er eigentlich weiß.
23-1	1283-1284	L	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
23-2	1284-1285	:	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	_	_	_	_	
23-3	1286-1288	Ja	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-4	1288-1289	,	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-5	1290-1294	also	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-6	1295-1299	kann	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-7	1300-1304	dann	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-8	1305-1311	leider	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-9	1312-1321	irgendwie	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-10	1322-1324	im	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-11	1325-1329	Test	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-12	1330-1336	selbst	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-13	1337-1342	nicht	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-14	1343-1346	das	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-15	1347-1358	wiedergeben	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-16	1358-1359	,	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-17	1360-1363	was	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-18	1364-1366	er	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-19	1367-1377	eigentlich	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-20	1378-1382	weiß	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	
23-21	1382-1383	.	*[13]	*[13]	*[13]	*[13]	Informationsphase[13]	*[13]	*[13]	*[59]	*[59]	*[59]	Statement[59]	

#Text=E: Das kann ich mir nicht vorstellen.
24-1	1384-1385	E	_	_	_	_	_	_	_	_	_	_	_	
24-2	1385-1386	:	_	_	_	_	_	_	_	_	_	_	_	
24-3	1387-1390	Das	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
24-4	1391-1395	kann	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
24-5	1396-1399	ich	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
24-6	1400-1403	mir	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
24-7	1404-1409	nicht	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
24-8	1410-1420	vorstellen	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
24-9	1420-1421	.	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	

#Text=E: Also er weiß es ja alles und das kann ja nicht sein, dass plötzlich alles weg ist.
25-1	1422-1423	E	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-2	1423-1424	:	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-3	1425-1429	Also	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-4	1430-1432	er	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-5	1433-1437	weiß	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-6	1438-1440	es	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-7	1441-1443	ja	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-8	1444-1449	alles	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-9	1450-1453	und	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-10	1454-1457	das	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-11	1458-1462	kann	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-12	1463-1465	ja	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-13	1466-1471	nicht	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-14	1472-1476	sein	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-15	1476-1477	,	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-16	1478-1482	dass	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-17	1483-1492	plötzlich	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-18	1493-1498	alles	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-19	1499-1502	weg	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-20	1503-1506	ist	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
25-21	1506-1507	.	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	

#Text=E: Ich meine, der ist so, wirklich so schlau und
26-1	1508-1509	E	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-2	1509-1510	:	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-3	1511-1514	Ich	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-4	1515-1520	meine	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-5	1520-1521	,	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-6	1522-1525	der	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-7	1526-1529	ist	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-8	1530-1532	so	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-9	1532-1533	,	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-10	1534-1542	wirklich	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-11	1543-1545	so	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-12	1546-1552	schlau	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
26-13	1553-1556	und	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	

#Text=E: Ich weiß nicht, ob es an Ihnen liegt oder an der Klasse oder wie Sie die Tests stellen, aber zu Hause funktioniert alles immer einwandfrei.
27-1	1557-1558	E	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-2	1558-1559	:	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-3	1560-1563	Ich	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-4	1564-1568	weiß	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-5	1569-1574	nicht	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-6	1574-1575	,	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-7	1576-1578	ob	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-8	1579-1581	es	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-9	1582-1584	an	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-10	1585-1590	Ihnen	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-11	1591-1596	liegt	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-12	1597-1601	oder	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-13	1602-1604	an	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-14	1605-1608	der	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-15	1609-1615	Klasse	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-16	1616-1620	oder	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-17	1621-1624	wie	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-18	1625-1628	Sie	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-19	1629-1632	die	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-20	1633-1638	Tests	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-21	1639-1646	stellen	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-22	1646-1647	,	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-23	1648-1652	aber	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-24	1653-1655	zu	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-25	1656-1661	Hause	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-26	1662-1674	funktioniert	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-27	1675-1680	alles	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-28	1681-1686	immer	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-29	1687-1698	einwandfrei	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
27-30	1698-1699	.	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	

#Text=E: Und ich kann mir nicht vorstellen, dass ihr dann plötzlich von einem Moment auf den anderen einfach hier alles vergisst.
28-1	1700-1701	E	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
28-2	1701-1702	:	*[14]	*[14]	Argumentationsphase[14]	*[14]	*[14]	*[14]	*[14]	_	_	_	_	
